Model,Variant,Battery_kWh,Peak_Power_kW,Torque_Nm,Top_Speed_kmh,Range_km,Acceleration_0_40_s,Ex_Showroom_Price,Price_per_Range_km,Price_per_kWh
Rizta,S,2.7,4.3,22,80,123,4.7,130841,1063.7479674796748,48459.62962962963
Rizta,S,3.7,4.3,22,80,159,4.7,153841,967.5534591194969,41578.64864864865
Rizta,Z,2.7,4.3,22,80,123,4.7,146341,1189.7642276422764,54200.370370370365
Rizta,Z,3.7,4.3,22,80,159,4.7,166340,1046.1635220125786,44956.75675675675
450S,,2.9,5.4,22,90,122,3.9,143920,1179.672131147541,49627.58620689655
450S,,3.7,6.4,26,90,161,3.3,158341,983.4844720496894,42794.86486486486
450X,,2.9,6.4,26,90,126,3.3,161841,1284.452380952381,55807.24137931035
450X,,3.7,6.4,26,90,161,3.3,171341,1064.2298136645963,46308.37837837837
450 Apex,,3.7,7.0,26,100,157,2.9,194841,1241.0254777070063,52659.72972972973
